day,Freq.,Percent,Cum.
        1,628293,2.25,2.25
        2,628298,2.25,4.50
        3,628293,2.25,6.75
        4,942465,3.37,10.12
        5,942467,3.37,13.49
        6,942467,3.37,16.86
        7,942462,3.37,20.23
        8,942465,3.37,23.60
        9,942464,3.37,26.97
       10,942466,3.37,30.34
       11,942472,3.37,33.71
       12,942461,3.37,37.08
       13,942468,3.37,40.45
       14,942473,3.37,43.82
       15,942465,3.37,47.19
       16,942465,3.37,50.56
       17,942469,3.37,53.93
       18,942469,3.37,57.30
       19,942465,3.37,60.67
       20,942465,3.37,64.04
       21,942468,3.37,67.41
       22,942468,3.37,70.78
       23,942466,3.37,74.15
       24,942466,3.37,77.52
       25,942468,3.37,80.89
       26,942469,3.37,84.26
       27,942467,3.37,87.63
       28,942468,3.37,91.00
       29,942465,3.37,94.37
       30,942466,3.37,97.74
       31,628312,2.25,99.99
Total,27959795,100.00,
