year,Freq.,Percent,Cum.
     1920,279037,1.00,1.00
     1921,279063,1.00,2.00
     1922,279048,1.00,3.00
     1923,279170,1.00,4.00
     1924,279180,1.00,5.00
     1925,279124,1.00,6.00
     1926,279098,1.00,7.00
     1927,279294,1.00,8.00
     1928,279086,1.00,9.00
     1929,279086,1.00,10.00
     1930,279080,1.00,11.00
     1931,279182,1.00,12.00
     1932,279183,1.00,13.00
     1933,279094,1.00,14.00
     1934,279101,1.00,15.00
     1935,279104,1.00,16.00
     1936,279147,1.00,17.00
     1937,279300,1.00,18.00
     1938,279727,1.00,19.00
     1939,279694,1.00,20.00
     1940,279723,1.00,21.00
     1941,279727,1.00,22.00
     1942,279727,1.00,23.00
     1943,279162,1.00,24.00
     1944,279118,1.00,25.00
     1945,279547,1.00,26.00
     1946,279460,1.00,27.00
     1947,279460,1.00,28.00
     1948,279460,1.00,29.00
     1949,279727,1.00,30.00
     1950,279727,1.00,31.00
     1951,279727,1.00,32.00
     1952,279727,1.00,33.00
     1953,279727,1.00,34.00
     1954,279727,1.00,35.00
     1955,279727,1.00,36.00
     1956,279727,1.00,37.00
     1957,279727,1.00,38.00
     1958,279727,1.00,39.00
     1959,279727,1.00,40.00
     1960,279727,1.00,41.00
     1961,279727,1.00,42.00
     1962,279727,1.00,43.00
     1963,279727,1.00,44.00
     1964,279727,1.00,45.00
     1965,279727,1.00,46.00
     1966,279727,1.00,47.00
     1967,279727,1.00,48.00
     1968,279727,1.00,49.00
     1969,279727,1.00,50.00
     1970,279727,1.00,51.00
     1971,279727,1.00,52.00
     1972,279727,1.00,53.00
     1973,279727,1.00,54.00
     1974,279727,1.00,55.00
     1975,279727,1.00,56.00
     1976,279727,1.00,57.00
     1977,279727,1.00,58.00
     1978,279727,1.00,59.00
     1979,279727,1.00,60.00
     1980,279727,1.00,61.00
     1981,279727,1.00,62.00
     1982,279727,1.00,63.00
     1983,279727,1.00,64.00
     1984,279727,1.00,65.00
     1985,279727,1.00,66.00
     1986,279727,1.00,67.00
     1987,279727,1.00,68.00
     1988,279727,1.00,69.00
     1989,279727,1.00,70.00
     1990,279727,1.00,71.00
     1991,279727,1.00,72.00
     1992,279727,1.00,73.00
     1993,279727,1.00,74.00
     1994,279727,1.00,75.00
     1995,279727,1.00,76.00
     1996,279727,1.00,77.00
     1997,279727,1.00,78.00
     1998,279727,1.00,79.00
     1999,279725,1.00,80.00
     2000,279727,1.00,81.00
     2001,279727,1.00,82.00
     2002,279727,1.00,83.00
     2003,279727,1.00,84.00
     2004,279727,1.00,85.00
     2005,279727,1.00,86.00
     2006,279727,1.00,87.00
     2007,279727,1.00,88.00
     2008,279727,1.00,89.00
     2009,279727,1.00,90.00
     2010,279727,1.00,91.00
     2011,279727,1.00,92.00
     2012,279727,1.00,93.00
     2013,279727,1.00,94.00
     2014,279727,1.00,95.00
     2015,279727,1.00,96.00
     2016,279727,1.00,97.00
     2017,279727,1.00,98.00
     2018,279725,1.00,99.00
     2019,279727,1.00,100.00
Total,27959795,100.00,
